Index	AvgScore	Score	NormalizedClaim	Text
22	0.2430	0.1562	Philippines lifts coronavirus restrictions on basketball games in November 2020 for entire country	Executive Order No. 83, effective November 13, 2020, allows basketball to be played in barangays, but only among players from the same barangay, with the barangay chairman or council responsible for enforcing compliance with the protocols.
23	0.2608	0.6529	Video shows China has opened an 880-kilometre highway to Pakistan	China has opened an 880 km highway connecting its country to Pakistan.
24	0.2714	0.5167	Video of Hurricane Shaheen in Oman	Hurricane Shaheen was photographed from the Burj Khalifa in Dubai as it approached the shores of Oman.
25	0.2805	0.4978	The Australian publishes apology on Black Lives Matter story	On July 15, 2020, The Australian, a News Ltd masthead, issued an apology for incorrectly reporting a link between the Melbourne COVID-19 outbreak and the Black Lives Matter protest.
26	0.2895	0.5146	DC mayor is exempting from COVID-19 self-quarantine Congress members who attended John Lewis funeral	The mayor of Washington D.C. exempted government activities, including Congress, from the mandatory 14-day quarantine, and this exemption applied to members of Congress who attended John Lewis' funeral in Georgia.
27	0.2139	0.1408	Images show colossal ancient tree stumps	A photo of a petrified tree trunk with a mysterious, ancient, and mystical atmosphere.
28	0.2841	0.3719	These photos show Russian-made air defence system destroyed in attack on Armenia in 2020.	The Turkish-made Harop drones have proven effective in destroying Russian-made S-300 air defense systems used by Armenia in the Azerbaijan-Armenia conflict.
29	0.2851	0.3126	Calgary mayor said Covid-19 is a "hoax"	Calgary Mayor Naheed Nenshi testified under oath that he was given no evidence to support COVID-19 measures, but followed orders from the federal government in exchange for funding, admitting the pandemic response was a hoax.
30	0.2889	0.4003	US attorney Lin Wood and Trump in Oval Office in April 2021	President Trump is working in the Oval Office, as claimed by Lin Wood, who asserts that Trump won the presidential election on November 3, 2020, in a historic landslide victory.
31	0.2944	0.4606	World Health Organization publishes text graphic listing top 10 killer foods	The World Health Organization has identified the top 10 killer foods, which include French fries, burgers, ice cream, iced tea, Chippy-Red, doughnuts, Pancit Canton, and sweetened pork, with 8 of these foods commonly found in the Philippines.
32	0.1345	0.2262	Philippine department of health releases guideline on appropriate COVID-19 face shields	The author accuses Sec. Duque of scamming people over face shield requirements.
33	0.2214	0.3717	Liberal Party of Canada plans to tax capital gains on home sales	A proposed 50% tax on home sales to deter speculators.
34	0.2909	0.4308	“World Bank website shows COVID-19 testing kits purchased by countries in 2017 and in 2018”	According to the World Bank, COVID-19 test kits have been exported and imported worldwide since 2017, with top importers in 2018 including the European Union, United States, Germany, China, and Netherlands.
35	0.2937	0.3897	Fire at Rochester, New York's City Blue Imaging linked to ballot fraud cover-up	A fire destroyed City Blue Imaging Services in Rochester, NY, a company that printed ballots, including those with misprint errors sent to NYC.
36	0.2901	0.1667	Thousands of Russian Army soldiers parachute into Ukraine.	Russian military paratroopers have landed in Ukraine, near Kharkov, as part of a strategic invasion that targets air bases, air defense systems, and strategic locations, followed by a massive ground and airborne assault.
37	0.2312	0.4483	Photos of 75-year-old American woman	Photo of a 54-year-old woman who appears younger than her age.
38	0.2924	0.3701	Image shows mismatch between Neil Armstrong’s spacesuit and boot print left on the Moon, therefore Moon landing was a hoax	The astronaut suit of Neil Armstrong, preserved in a museum, allegedly does not match the footprints he left on the moon, raising questions about the authenticity of the moon landing.
39	0.2378	0.3501	United States crime statistics in 2015	A graphic displaying 2015 US crime statistics, with racial breakdowns of killings by police and other groups.
40	0.2909	0.2464	Video of footballer Andre Gomes' ankle being pushed back into place	Everton midfielder Andre Gomes suffered a horrific ankle injury in a Premier League match against Tottenham and will undergo surgery, while Son Heung-min, who was sent off for the tackle, is devastated but not to blame for the incident.
41	0.2939	0.4134	A video shows Ukrainians destroying Russian tanks with Molotov cocktails	Ukrainian citizens in Kiev have successfully destroyed two Russian tanks using Molotov cocktails as part of their guerrilla warfare tactics to counter the Russian army.
42	0.1360	0.0685	Dischem pharmacy mocks rival over racism row	The author is mocking excessive advertising with repetitive text.
43	0.1337	0.0794	South Africans can refuse COVID-19 isolation	Hospitals are killing COVID-19 patients to reduce population.
44	0.2836	0.3074	Soweto father who tortured his daughter’s rapist	A Soweto father took the law into his own hands and brutally punished the man who raped his 3-year-old daughter by tying him to a tree, mutilating him, and forcing him to consume the severed body part.
45	0.1443	0.3993	Photos of regrowth after Australian bushfires	Nature is recovering from the Australian bushfires through regrowth.
46	0.2901	0.7212	Sri Lanka's LPL ranked as biggest global sporting event of 2020	Sri Lanka won the 2020 Lanka Premier League, which was ranked as the biggest global sporting event of the year.
47	0.2261	0.3912	Photo shows recent anti-lockdown and anti-vaccination protests organised in France.	Protesters in yellow vests demonstrating against Macron's lockdown and vaccine policies in France.
48	0.2863	0.1695	Fauci is alone in saying hydroxychloroquine unproven against COVID-19	Hydroxychloroquine has been found to be effective in several countries, including Italy, France, Spain, and Brazil, contrary to Dr. Fauci's claim that there is no strong evidence of its effectiveness.
49	0.2867	0.3094	Video shows Kenyan man killing his baby	A 23-year-old Kenyan man, Mark Njuguna, has been arrested for allegedly killing his 4-month-old son after doubting his paternity, in an incident that occurred on January 25 in Gatanga, Murang'a, Kenya.
50	0.2228	0.2635	The Uvalde, Texas, school shooter was a “transsexual leftist illegal alien named Salvatore Ramos.”	Photo of Salvador Ramos, the 18-year-old Texas school shooter.
51	0.2885	0.4882	Federal Reserve is owned by a small group of banking families	The Federal Reserve Bank and a small group of wealthy individuals control the country, and it's essential for all Americans to be aware of and understand this reality.
52	0.2913	0.4331	Melania Trump's dress featured drawings by child abuse victims	The press criticized First Lady Melania Trump's Alexander McQueen linen dress at the Mount Rushmore Ceremony, which symbolized her love and care for abused children.
53	0.2974	0.6163	Time change, full moon and Friday the 13th happening in same week of March 2021	Next week will feature a combination of a time change, a full moon, and Friday the 13th.
54	0.2960	0.2175	Paul Pogba quit France’s national football team over president’s remarks on Islam	Paul Pogba has reportedly stopped playing for the French national team due to the country's alleged disrespect towards the Prophet Muhammad and the Muslim community.
55	0.1406	0.0781	Biden faked an interaction with reporters	The author believes reality is being manipulated or faked.
56	0.2958	0.5203	Photos show that Muslims vandalise Baba Saheb Ambedkar statue in Delhis Seelampur.	In Delhi's Seelampur, Muslims allegedly disrespected Baba Saheb Ambedkar, despite claims of Dalit-Muslim unity.
57	0.2167	0.3125	Photo of a jaguar rescued from the 2019 Amazon fire	A burned animal in water, escaping the Amazon fire.
58	0.2979	0.4605	This photo shows the aftermath of vaccine trials on Africans	The vaccine trials conducted on Africans have yielded concerning results and no one has been held accountable for this issue.
59	0.2250	0.4495	Novel coronavirus exposure at a doctor’s office in this Australian town	A Facebook post about a potential coronavirus exposure at a doctor's office.
60	0.2989	0.4507	90 percent of plastic in the world's oceans comes from ten rivers	Ninety-five percent of the ocean's plastic pollution originates from just ten rivers, all of which are located in Asia or Africa.
61	0.2978	0.2373	Elderly Chinese couple hold hands in hospital after they were infected with coronavirus	An 80-year-old couple diagnosed with coronavirus shared a final goodbye in the intensive care unit.
62	0.2999	0.4276	Russian leader Putin in South Africa for summit	President Putin arrived in South Africa in 2018 to attend the 10th BRICS Summit.
63	0.2193	0.1261	This photo shows kangaroos rejoicing in the rain during the Australian bushfires	A video of rain in Australia with Australian flag emoji.
64	0.3022	0.6589	Three carrots give you energy to walk three miles	Eating three carrots provides enough energy to walk three miles and they were initially cultivated as a medicine, not a food source.
65	0.2989	0.0855	Screenshot shows Trudeau was named in Maxwell trial	Here is the standardized claim in one sentence: Jeffrey Epstein's former pilot testified in court, naming high-profile individuals, including Prince Andrew, Bill Clinton, Donald Trump, and others, as passengers who accompanied Epstein on his private plane.
66	0.2170	0.3125	Taliban leave Christians to die in bags	Christians tied in nylon bags, left to die for refusing to deny Jesus in Afghanistan.
67	0.1328	0.0510	180 people so far charged with arson during Australian bushfires	Frustration and outrage over repeated arson incidents.
68	0.2968	0.4617	Indian activist Trupti Desai arrested for buying alcohol during COVID-19 lockdown	Trupti Desai, a social activist known for her involvement in the Sabarimala issue, was arrested for illegally purchasing liquor during the lockdown.
69	0.2110	0.2323	UN trucks stationed in front of a pharmaceutical company in Toronto	A screenshot of a conspiracy theory post about forced vaccination.
70	0.2926	0.1422	Photo shows US basketball star LeBron James wearing a shirt that read: “WE DIE, y’all silent”	People are angry regardless of whether we march, sit down, or speak up, but they remain silent when we die.
71	0.1278	0.1974	Unvaccinated children pose no threat to anyone	Vaccines are ineffective if unvaccinated people pose a risk to vaccinated ones.
72	0.2878	0.1739	Images of children caged by human traffickers.	Thousands of children are disappearing in the US, allegedly into child trafficking, sex trafficking, organ harvesting, and other forms of exploitation, and it is imperative that awareness is raised to locate them and bring perpetrators to justice.
73	0.2860	0.1562	Indian and Pakistani soldiers dancing together to celebrate the arrival of Sikh religious pilgrims in Pakistan in October 2019	The Pakistani and Indian armies are jointly celebrating the opening ceremony of the Kartarpur corridor, marking a historic moment.
74	0.2874	0.3912	Photo of runners Abel Mutai and Ivan Fernandes	Ivan Fernandez pushed Kenyan runner Abel Mutai to victory in a race after Mutai stopped short of the finish line due to confusion, demonstrating Fernandez's selfless values and prioritization of fairness over personal gain.
75	0.1994	0.2778	Switzerland gives every citizen a gun	A photo of a Swiss citizen holding a gun, with a low-crime cityscape in the background.
76	0.1310	0.4018	Stanford study found masks are ineffective to block transmission of Covid-19	Stanford University's study allegedly proves masks are ineffective and harmful.
77	0.1996	0.2062	Photo shows child wounded in Russia invasion of Ukraine	A photo of a child affected by the Ukraine war, evoking sadness and prayer.
78	0.2864	0.3469	Breathing hot air from a hair dryer or in a sauna can prevent or cure COVID-19	A doctor explains that using a sauna can help prevent the survival of COVID-19 in many places, including Africa.
79	0.1978	0.1271	NATO train ferrying armoured vehicles and military cargo to war in Ukraine	A convoy of NATO military vehicles with mysterious cabins.
80	0.1941	0.0407	A rail freight tanker had “COVID-19” stamped on one side	A repetitive post about a deleted item being reposted, with no visual content.
81	0.1273	0.1653	Photograph shows people in Ukraine praying amid increased tensions with Russia.	The author wants people to pray for Ukraine and download their app.
82	0.2796	0.4419	A factory full of baby formula, toilet paper and other supplies for export to China	The claim that TT Express, located at Factory 35/131 Hyde Street in Footscray, is allegedly stockpiling and exporting large quantities of essential goods, including baby formula, toilet paper, and medicine, to China via Freight Net, has been found to be false.
83	0.1307	0.2930	These are advices on coronavirus prevention	The author wants to share unverified coronavirus prevention tips.
84	0.2761	0.1626	Ivory tusks and horns are dyed pink to prevent poaching	The use of pink dye, similar to that used on bank notes, is being utilized to render ivory unsellable and unconsumable, thereby saving animal lives without causing them harm.
85	0.2793	0.5476	Bill Gates' foundation tested a polio vaccine in India that left at least 490,000 children paralyzed	Bill Gates' polio vaccine allegedly paralyzed 490,000 children in India, resulting in the country expelling him and his foundation.
86	0.2783	0.1899	Illegally enter Australia and get a job, $70,000 and welfare	The treatment of individuals who cross borders illegally varies significantly across countries, with some nations imposing severe penalties, such as North Korea's 12 years of hard labor, while others, like Australia, allegedly provide generous benefits, including jobs, healthcare, and education.
87	0.1360	0.3945	Images show deadly mosque blaze in Pakistan	The author expresses condolences for Muslims who died in a mosque and madrasa fire in Pakistan.
88	0.2781	0.3806	132,000 ballots from Georgia's Fulton County may be ineligible	There are 132,000 potentially ineligible votes in Fulton County, Georgia, due to "change of address" red flags, which could impact the election outcome where Biden currently leads by 10,000 votes.
89	0.2786	0.3166	NGO providing free Plasma to covid patients	Team Step One, led by Dr. Monica Bhagat, provides free plasma arrangement in Delhi, and can be contacted immediately at +91 98100 26546 or +91 9811869823.
90	0.2794	0.3523	President Joe Biden’s address to Congress had 11.6 million viewers	The claim is: President Biden is not widely popular in the nation, as evidenced by low TV ratings for his address to Congress, with only 11.6 million viewers, compared to President Trump's 37.2 million viewers in 2020.
91	0.1394	0.3156	Biden Administration Is Implementing A Per-Mile ‘Driving Tax’	The author opposes Biden's proposed per-mile driving tax.
92	0.1921	0.2972	An image shows the 2020 wildfires in Oregon	A photo of a wildfire in Southern Oregon, likely near Diamond Lake.
93	0.2777	0.4608	American Red Cross does not accept plasma donations from Covid-19 vaccine recipients	The American Red Cross states that individuals who have received a vaccine are not eligible to donate blood plasma because the vaccine eliminates the body's natural antibodies.
94	0.1397	0.1240	About 100,000 votes cast in the US state of Nevada were fraudulent	The author claims election fraud erased Biden's lead in key states.
95	0.2763	0.3013	“At John Lewis funeral Obama told a room full of people that rooms full of people is too dangerous so we must mail in vote.”	At John Lewis' funeral, Obama stated that gatherings with large crowds are too dangerous, advocating for mail-in voting instead.
96	0.1873	0.1493	Chinese man fights with Kenyan worker	African man with a serious expression, possibly with a fist raised.
97	0.2796	0.8789	$999 fine and 3-year suspended license as of January 2020.	As of January 2020, using or holding a cell phone while driving can result in a $999 fine and a 3-year suspended license.
98	0.2828	0.5923	Australian TV host Waleed Aly applauds African gang for assaulting young girl	Waleed Aly is criticized for allegedly applauding an African gang that assaulted a young girl at a train station, with many calling for him to be removed from TV due to his views being perceived as inconsistent with Australian values.
99	0.1407	0.3348	Video of Kabul airport explosions	Terrorist attacks in Kabul Airport result in deaths and injuries.
100	0.1913	0.3872	Muslims protesting against temple in Kolakata	A video shows Muslims protesting outside Kali Matha Mandir in Kolkata.
101	0.1957	0.4189	A livestream of Donald Trump attending a parade in March 2021.	A photo of Donald Trump with a repeated caption "Perfect Welcome".
102	0.2811	0.1744	Australians who avoid their local clinics during the novel coronavirus epidemic will receive free doctor visits	If you feel unwell with symptoms such as a fever or sore throat, contact the communicable disease control branch directly using the provided state-specific numbers to arrange a free doctor's visit at your residence.
103	0.2784	0.0000	UberBus coming to South Africa	Uber is starting a conflict with the wrong individuals.
104	0.2814	0.5897	This Video Is Taken From Sarvodaya Mandir, Ghatkopar, Mumbai	A video taken from Sarvodaya Mandir in Ghatkopar, Mumbai, allegedly shows children being radicalized, prompting concerns about the country's future if demographic changes exceed 30%.
105	0.2801	0.1500	Foreign commanders spotted directing Hong Kong protests	A command car, possibly CX7, was observed directing protesters and serving as a changing station for physically fit Caucasian individuals during a clearance operation near my apartment, accompanied by similar numbered support vehicles.
106	0.2825	0.5321	Nancy Pelosi flies to California every weekend on a Boeing 757	Speaker Pelosi travels home to California every week on a 200-seat Boeing 757, incurring a round-trip fuel cost of $120,000, which totals $5,760,000 annually, excluding crew expenses.
107	0.2843	0.4819	Nigerian vice president attacked while seeking medical care in Germany	The Vice President of the Nigerian Senate was attacked by his compatriots in Germany, where he had traveled for medical care, and was told to return home and improve healthcare facilities in Nigeria using the country's budget.
108	0.2863	0.4915	Biden kneels in front of George Floyd's son	US President Joe Biden knelt before George Floyd's son to ask for forgiveness following his father's inhumane death last year.
109	0.1878	0.3125	“U.S. Census Bureau confirms huge conflict in total number of voters in 2020 election.”	A tweet claims the US Census Bureau found a 4 million vote discrepancy in the 2020 election.
110	0.1876	0.1807	Image shows snake that swallowed a rifle	A person is angrily ranting about snakes eating anything, including an AK (likely an AK-47 rifle).
111	0.2872	0.6696	Says Marjorie Taylor Greene said, “People are dying who have never died before.”	Marjorie Taylor Greene claims that people who have never died before are now dying.
112	0.2917	0.7895	New York Statue of Liberty wrapped in Ukrainian flag	The Statue of Liberty in New York is veiled in the Ukrainian flag.
113	0.1863	0.1128	Elderly Chinese couple hold hands in hospital after they were infected with coronavirus	A person in a mask, possibly in a hospital, with a somber expression.
114	0.2907	0.4304	International Civil Aviation Organisation bars Pakistan from issuing pilots licences	The International Civil Aviation Authority (ICAO) has issued a notice to the Pakistan Civil Aviation Authority, prohibiting it from issuing licenses to pilots, crew, or engineers, and has also delayed its inspection and expressed safety concerns.
115	0.1853	0.1282	Yogi Adityanath provides for orphan child at Diwali celebrations in 2019	Yogi Ji comforts a crying child who lost parents, promising to care for food and education.
116	0.2895	0.3188	Photos show Kenyan police arresting Nnamdi Kanu	A video obtained by The Republican News reveals that armed Kenyan special police stormed an airplane carrying Nnamdi Kanu, contradicting the Kenyan government's denial of involvement in his rendition from Kenya to Nigeria.
117	0.1344	0.2869	Covid-19 vaccine recipients are spreading variants and "creating" mutations	Vaccinated people, not unvaccinated, are spreading mutant variants.
118	0.2884	0.1966	New Australian law passed in Parliament which revokes licenses from drivers who touch their phone	In Australia, drivers are now subject to a three-month license revocation if they touch their phone while driving or with the engine running, and are required to use Bluetooth or safely park and turn off their engine before answering calls.
119	0.2876	0.1961	Video shows Ukrainian refugee boy walking in Poland alone	A Ukrainian child is fleeing war in Ukraine, walking alone and crying in an attempt to save his life.
120	0.2900	0.5740	Photo shows Keystone Pipeline compared to a lithium mine	The top image depicts the Keystone pipeline, while the bottom image shows a lithium mine.
121	0.2889	0.1644	$100B contact tracing bill “is about controlling/tracking population, not about coronavirus.”	The COVID-19 Testing, Reaching, And Contacting Everyone (TRACE) Act, introduced by Rep. Bobby Rush, aims to award grants for diagnostic testing and contact tracing of COVID-19, including tracking citizens' movements and conducting tests at individuals' residences as necessary.
122	0.2866	0.0000	Image shows New Zealand PM Jacinda Ardern hugging gang member	The claim is that only guns were taken from law-abiding citizens.
123	0.2893	0.6169	Finland is moving military equipment to the eastern border with Russia	Finland is relocating military equipment to its eastern border.
124	0.2925	0.6884	Sri Lanka's LPL ranked as biggest global sporting event of 2020	The 2020 Lanka Premier League was ranked as the biggest global sporting event of the year.
125	0.2957	0.7005	Image of Sleeping Lady Mountain near Anchorage, Alaska	The Sleeping Lady Mountain is located approximately 33 miles northwest of Anchorage, Alaska.
126	0.2946	0.1562	Images show artwork created using fireflies	Vitor Schietti photographed fireflies in trees using long-time exposure.
127	0.2963	0.5111	Fake cashew nuts made from flour and chemicals in Kerala state, India	Fake cashewnuts, made in Kerala by mixing maida and chemicals, are being sold at a cost of Rs.300 to Rs.400 per kilogram, mimicking the taste of original cashew nuts.
128	0.2962	0.2769	US government to provide free crack pipes to drug users	The Biden administration plans to fund programs that distribute crack pipes as part of an effort to prevent infection and promote racial equity.
129	0.2985	0.5975	Suicides up 200% since lockdown	The suicide rate has increased by 200% since lockdown, and individuals in crisis can call the USA hotline at 1-800-273-8255 to reach a listener.
130	0.1274	0.2435	Indian journalist Rana Ayyub arrested at protest	The author admires Rana Ayyub's courage and agrees with Jinnah's views.
131	0.2986	0.3912	Video shows lightning strike in Montana, the US	A security camera in Montana captured a lightning strike hitting a rock and then jumping to a stream, demonstrating the unpredictable and awe-inspiring power of lightning.
132	0.2990	0.3509	Los Angeles county suspended cremation of Covid-19 fatalities	Sri Lankan authorities are criticized for forcibly cremating COVID-19 victims, which is not a globally recommended practice, and is even suspended in places like Los Angeles due to air pollution concerns.
133	0.2993	0.3477	Ice Cube and 50 Cent wear Trump hats in a photo of the two rapper/actors	Rappers 50 Cent and Ice Cube have publicly supported Donald Trump.
134	0.1781	0.4260	A photo shows Ukrainians praying in the snow 'in this phase of war danger'	Ukrainian Christians praying outdoors in the snow for their country amidst war danger.
135	0.1322	0.4076	Volcanoes emit more CO2 than man made emissions	Humans are arrogant to think they can change the climate, given natural events like volcanoes emit more pollution.
136	0.3002	0.5770	WhatsApp video hacks your phone in 10 seconds	A video called "Argentina is doing it" is being circulated on WhatsApp, claiming to show the Covid-19 curve flattening in Argentina, but allegedly hacks phones in 10 seconds and should not be opened.
137	0.3006	0.3626	Seniors can get their Medicare Flex Card for a limited time	The Medicare Flex Card is a new benefit that helps older Americans cover expenses such as groceries, medical appointments, and prescriptions.
138	0.3007	0.3117	Marcos-era coins back in circulation in the Philippines	The Philippine coins have introduced a new face design.
139	0.2996	0.1433	A Facebook post about an anti-COVID-19 restrictions protest in Berlin uses a photograph that is not from the protest but instead from a Swiss dance party held in 2019.	Here is the standardized claim in one sentence: A large protest in Berlin, estimated by police to have drawn between 800,000 to 1.3 million people, demonstrated against COVID-19 lockdowns and tyranny, highlighting the issue of compliance with restrictive measures.
140	0.2997	0.3125	Pfizer drug Vyndamax treats myocarditis	Pfizer's Vyndamax drug for myocarditis treatment has seen a 77% increase in sales in the US.
141	0.1337	0.3064	Amazon sprays its shipping boxes with "toxic pesticides"	Amazon's cardboard boxes allegedly contain toxic pesticides that can harm cats.
142	0.1794	0.3549	Image shows a 'Spanish Dancer Jellyfish'	A photo of a vibrant Spanish Dancer Jellyfish.
143	0.2967	0.1497	Salk Institute said vaccines cause illnesses; UBC said lockdowns have no benefit	According to recent reports, the Manitoba government has testified that PCR tests have a 56% false positive rate, while the CDC has confirmed no outdoor spread of the virus, and various institutions have reported concerns over vaccine injuries, lockdown effectiveness, and COVID-19 transmission.
144	0.2961	0.2090	America had the lowest unemployment rate in history a year ago in April 2020	The implementation of a $4 trillion jobs plan is unnecessary since the country previously achieved historically low unemployment rates without using taxpayer funds.
145	0.2966	0.3673	A dancer is nominated by the Pakistani government for the Pakistan Medical Commission	Miss Roshuna Zafar, a famous dancer, has been appointed as a member of the Pakistan Medical Committee (PMC) by the Government of Pakistan, where she is expected to introduce innovative approaches to the field of medicine.
146	0.1774	0.3221	Road sign with anti-Muslim message at the India-Pakistan border	A photo of an Indian border sign with a message declaring a "Sharia-free zone".
147	0.2971	0.5743	Nepal shoots down intruding Indian fighter jet	Nepal has shot down an Indian Air Force fighter jet that violated Nepalese airspace, resulting in the death of two Indian Air Force pilots.
148	0.2967	0.2315	Trudeau is part of global 'Great Reset' conspiracy	According to Trudeau, the pandemic is being used as an excuse for a "Great Reset" of the world, led by the UN.
149	0.1788	0.3079	Video shows Russian tank torched in Ukraine conflict	Ukrainian citizens throwing molotov cocktails at Russian tanks in Kiev.
150	0.1806	0.3094	An image of construction workers protesting in Melbourne, Australia	Aerial view of protesters at Swanston and Bourke streets in Melbourne.
151	0.1841	0.4470	Real photo of India’s Golden Temple at Amritsar with floating sky lanterns	A photo of the Golden Temple at night with lanterns reflected in the surrounding water.
152	0.2950	0.2630	SADS is an adverse effect of the Covid-19 vaccine	The COVID-19 vaccine has been linked to adverse reactions, including heart failure, stillbirths, and sudden death, as revealed in court-ordered documents from Pfizer, which were previously hidden by the company and the FDA.
153	0.1365	0.5859	George Floyd's death was staged	The author believes the George Floyd incident was staged.
154	0.1834	0.2174	Cap on when Nancy Pelosi got Covid-19 vaccine	A photo of a person, likely Nancy, receiving a vaccination with the cap still on the needle.
155	0.2937	0.2192	COVID-19 guidelines from India’s top medical research body ICMR	The Indian Council of Medical Research (ICMR) New Delhi recommends following precautions for the next 6-12 months to mitigate the risk of COVID-19, including postponing international travel, avoiding crowded places, following social distancing norms, and maintaining personal hygiene.
156	0.1836	0.2447	Novel coronavirus exposure at a doctor’s office in this Australian town	A mother's post about potential COVID-19 exposure at Aberglasslyn Doctors.
157	0.1872	0.4808	Image of gospel preacher executed in Syria	A man smiles as he's led to execution in Syria for preaching gospel.
158	0.2921	0.3712	Deaths of Hank Aaron and Marvelous Marvin Hagler were linked to COVID-19 vaccine	Here is the standardized claim in one sentence: Dr. Umar Johnson is hosting a "Know Your School Rights Black Parent BootKamp" in Boston, MA on April 10th, while separately, former boxer Thomas Hearns claims that Marvin Hagler's death was linked to the COVID-19 vaccine he received.
159	0.1885	0.2929	Infrastructure bill includes 61 percent tax on assets after a person dies	A video or photo of a person expressing outrage over a proposed 61% tax on inherited wealth.
160	0.1344	0.3155	This video shows landslide in north-eastern India.	Cyclones are not directly causing landslides in Meghalaya.
161	0.1896	0.2820	A photo shows a Time magazine cover comparing Vladimir Putin to Adolf Hitler	Time magazine cover with title "The Return of History" about Putin and Europe.
162	0.2905	0.3841	A video is showing footage from an explosion in a Saudi Aramco refinery	A blast occurred at a Saudi Aramco refinery.
163	0.2923	0.5943	Ghanaian cedi now 59,000 to the US dollar	The value of the Ghana cedi is currently 59,000 to one US dollar.
164	0.2935	0.4826	A car stripped of its parts in three hours in Johannesburg	A Johannesburg man's car was stripped by robbers in just 3 hours, and he shared photos of the incident.
165	0.2929	0.1923	Trump author of speech disparaging Africans and Arabs	Donald Trump allegedly stated that Africans are inferior, plagued by corruption, poverty, and disease, and are incapable of self-rule, requiring white supervision to develop and prosper.
166	0.2919	0.1247	A picture of some protestors carrying some placards is doing the rounds on the internet. The text on one of the placards read, 'We are not Arabs, to kill us and keep silent'.	The US government is allegedly killing Arabs and silencing them, prompting outrage and condemnation from the public.
167	0.2914	0.2128	Trump reinstated to Facebook	Donald Trump's Facebook and Instagram accounts have been restored.
168	0.2920	0.3912	Photo of Tanzanian president Samia Suluhu Hassan and her daughter	Samia Suluhu Hassan, a 61-year-old, has become the first female Head of State in East Africa as the President of Tanzania.
